run,parameter,joint,value,lower,upper,normalized_distance_to_boundary
A,armature,FR-abad,0.010126153938472271,9.999999974752427e-07,1.5,0.006750107125721269
A,armature,FR-thigh,0.004692806396633387,9.999999974752427e-07,1.5,0.00312787301633928
A,armature,FR-calf,0.03206348046660423,9.999999974752427e-07,1.5,0.02137500122773862
A,armature,RL-abad,0.013775923289358616,9.999999974752427e-07,1.5,0.009183288315099621
A,armature,RL-thigh,0.0070754108019173145,9.999999974752427e-07,1.5,0.004716277012131226
A,armature,RL-calf,0.032287754118442535,9.999999974752427e-07,1.5,0.021524517095308067
A,armature,RR-abad,0.014925427734851837,9.999999974752427e-07,1.5,0.009949625122986307
A,armature,RR-thigh,0.004879353567957878,9.999999974752427e-07,1.5,0.003252237880132183
A,armature,RR-calf,0.03310314565896988,9.999999974752427e-07,1.5,0.02206811181805611
A,damping,FL-abad,0.3601717948913574,0.0,10.0,0.03601717948913574
A,damping,FL-thigh,0.34997284412384033,0.0,10.0,0.03499728441238403
A,damping,FL-calf,0.31661421060562134,0.0,10.0,0.031661421060562134
A,damping,FR-abad,0.38538873195648193,0.0,10.0,0.03853887319564819
A,damping,FR-thigh,0.3553307056427002,0.0,10.0,0.03553307056427002
A,damping,FR-calf,0.3075367212295532,0.0,10.0,0.030753672122955322
A,damping,RL-abad,0.42666465044021606,0.0,10.0,0.042666465044021606
A,damping,RL-thigh,0.3824806213378906,0.0,10.0,0.03824806213378906
A,damping,RL-calf,0.31732648611068726,0.0,10.0,0.031732648611068726
A,damping,RR-abad,0.3975701332092285,0.0,10.0,0.03975701332092285
A,damping,RR-thigh,0.3904464840888977,0.0,10.0,0.03904464840888977
A,damping,RR-calf,0.3329482674598694,0.0,10.0,0.03329482674598694
A,frictionloss,FL-abad,0.17325809597969055,0.0,1.5,0.1155053973197937
A,frictionloss,FL-thigh,0.17469249665737152,0.0,1.5,0.11646166443824768
A,frictionloss,FL-calf,1.2520859241485596,0.0,1.5,0.16527605056762695
A,frictionloss,FR-abad,0.1138981282711029,0.0,1.5,0.0759320855140686
A,frictionloss,FR-thigh,0.13934782147407532,0.0,1.5,0.09289854764938354
A,frictionloss,FR-calf,0.9183985590934753,0.0,1.5,0.3877342939376831
A,frictionloss,RL-abad,0.13620999455451965,0.0,1.5,0.09080666303634644
A,frictionloss,RL-thigh,0.11221598088741302,0.0,1.5,0.07481065392494202
A,frictionloss,RL-calf,0.5382477045059204,0.0,1.5,0.35883180300394696
A,frictionloss,RR-abad,0.15456068515777588,0.0,1.5,0.10304045677185059
A,frictionloss,RR-thigh,0.20676232874393463,0.0,1.5,0.13784155249595642
A,frictionloss,RR-calf,0.5658636689186096,0.0,1.5,0.37724244594573975
A,bias,FL-abad,-0.048350512981414795,-0.05000000074505806,0.05000000074505806,0.01649487739063982
A,bias,FL-thigh,0.04747260734438896,-0.05000000074505806,0.05000000074505806,0.02527393363008002
